wikidata_id,destination_name,respect_text,local_laws_text
Q25319,Aarhus,"==Culture==
Aarhus is home to many annual cultural events and festivals, museums, theatres, and sports events of both national and international importance, and presents some of the largest cultural attractions in Denmark. There is a long tradition of music from all genres, and many Danish bands have emerged from Aarhus. Libraries, cultural centres and educational institutions present free or easy opportunities for the citizens to participate in, engage in, or be creative with cultural events and productions of all kinds.

Since 1938, Aarhus has marketed itself as Smilets by (City of smiles) which has become both an informal moniker and official slogan. In 2011, the city council opted to change the slogan to ""Aarhus. Danish for Progress"" but it was unpopular and abandoned after just a few years. Other slogans that have occasionally been used are Byen ved havet (City by the sea), Mellem bugt og bøgeskov (Between bay and beechwood) and Verdens mindste storby (World's smallest big city). Aarhus is featured in popular songs such as Hjem til Aarhus by På Slaget 12, Lav sol over Aarhus by Gnags, 8000 Aarhus C by Flemming Jørgensen, Pigen ud af Aarhus by Tina Dickow and Slingrer ned ad Vestergade by Gnags. In 1919, the number Sangen til Aarhus (Song to Aarhus) had become a popular hit for a time, but the oldest and perhaps best known ""national anthem"" for the city is the classical Aarhus Tappenstreg from 1872 by Carl Christian Møller which is occasionally played at official events or at performances by local marching bands and orchestras.

thumb|[[ARoS Aarhus Kunstmuseum]]
Aarhus has a range of museums, including two of the largest in the country, measured by the number of paying guests, Den Gamle By and ARoS Aarhus Kunstmuseum. Den Gamle By (The Old Town), officially Danmarks Købstadmuseum (Denmark's Market Town Museum), presents Danish townscapes from the 16th&nbsp;century to the 1970s with individual areas focused on different time periods. 75 historic buildings collected from different parts of the country have been brought here to create a small town in its own right.

thumb|[[Den Gamle By|The Old Town Museum]]
ARoS Aarhus Kunstmuseum, the city's main art museum, is one of the largest art museums in Scandinavia with a collection covering Danish art from the 18th&nbsp;century to the present day as well as paintings, installations and sculptures representing international art movements and artists from all over the world. The iconic glass structure on the roof, Your Rainbow Panorama, was designed by Olafur Eliasson and features a promenade offering a colourful panorama of the city.

The Moesgård Museum specialises in archaeology and ethnography in collaboration with Aarhus University with exhibits on Denmark's prehistory, including weapon sacrifices from Illerup Ådal and the Grauballe Man. Kvindemuseet, the Women's Museum, from 1984 contains collections of the lives and works of women in Danish cultural history. The Occupation Museum (Besættelsesmuse",
Q1519,Abu Dhabi,"== Culture ==

thumb|[[Louvre Abu Dhabi]]
Abu Dhabi has a diverse and multicultural society. The city's cultural imprint as a small, ethnically homogeneous pearling community was changed with the arrival of other ethnic groups and nationals—first by the Iranians in the early 1900s, and later by various African, Asian, European, and Middle Eastern ethnicities in the 1950s and 1960s. Abu Dhabi has been criticised for perpetuating a class-based society, where migrant workers are in the lower classes, and suffer abuse which ""is endemic to the system"".

Major holidays in Abu Dhabi include Eid al Fitr which marks the end of Ramadan, Eid ul-Adha which marks the end of Hajj, and National Day (2 December) which marks the formation of the United Arab Emirates.

This unique socioeconomic development in the Persian Gulf has meant that Abu Dhabi is generally more tolerant than its neighbours, including Saudi Arabia. Emiratis have been known for their tolerance; Christian churches, Hindu temples, Sikh gurdwaras (with the first synagogue commencing construction in 2020), and Buddhist temples can be found alongside mosques. The cosmopolitan atmosphere is gradually growing; as a result, there are a variety of African, Asian, European, Middle Eastern, and Western schools, cultural centres, and themed restaurants.

Abu Dhabi is home to several cultural institutions, including the Cultural Foundation and the National Theater. The Cultural Foundation, while closed for reconstruction as of spring 2011, is home to the UAE Public Library and Cultural Center. Various cultural societies such as the Abu Dhabi Classical Music Society have a strong and visible following in the city. The recently launched Emirates Foundation offers grants in support of the arts and to advance science and technology, education, environmental protection, and social development. The International Prize for Arabic Fiction (IPAF) will be based in Abu Dhabi. The city also stages hundreds of conferences and exhibitions each year in its state-of-the-art venues, including the Abu Dhabi National Exhibition Centre (ADNEC), which is the Persian Gulf's largest exhibition centre and welcomes around 1.8&nbsp; million visitors every year.

The Red Bull Air Race World Series has been a spectacular sporting staple for the city for many years, bringing tens of thousands to the waterfront. Another major event is the Abu Dhabi International Petroleum Exhibition and Conference (ADIPEC).

The diversity of cuisine in Abu Dhabi reflects the cosmopolitan nature of society. Arab food is trendy and is available everywhere in the city, from the small shawarma to the upscale restaurants in the city's many hotels. Fast food and South Asian cuisine are also trendy and are widely available. The sale and consumption of pork, though not illegal, is regulated and sold only to non-Muslims in designated areas.Food and Agricultural Import Regulations and Standards . GAIN Report. United States Department of Agriculture Similarly, t",
Q3761,Accra,"==Respect==
The majority of Ghanaians are devout Christians and have a traditional lifestyle; respect that.",
Q5112,Adelaide,"left|thumb|St Nicholas Church, a Russian Orthodox church in [[Wayville, South Australia|Wayville. Adelaide's 19th century moniker was The City of Churches.]]
Adelaide was founded on a vision of religious tolerance that attracted a wide variety of religious practitioners. This led to it being known as The City of Churches.Religion: Diversity , SA Memory. Retrieved 23 December 2010. But approximately 28% of the population expressed no religious affiliation in the 2011 Census, compared with the national average of 22.3%, making Adelaide one of Australia's least religious cities. According to 2021 census, 39.8% of the population of Adelaide identify as Christian, with the largest denominations being Catholic (16.4%), Anglican (7.0%), Uniting Church (3.9%) and Greek Orthodox (2.4%). Non-Christian faith communities, representing 9.5% from Adelaide's population, include Islam (2.8%), Hinduism (2.7%) and Buddhism (2.3%).

The Jewish community of the city dates back to 1840. Eight years later, 58 Jews lived in the city.Adelaide , Jewish Virtual Library, Encyclopaedia Judica, 2008. A synagogue was built in 1871, when 435 Jews lived in the city. Many took part in the city councils, such as Judah Moss Solomon (1852–66). Three Jews have been elected to the position of city mayor.Adelaide , JewishEncyclopedia.com, 1906. In 1968, the Jewish population of Adelaide numbered about 1,200; in 2001, according to the Australian census, 979 persons declared themselves to be Jewish by religion. In 2011, over 1,000 Jews were living in the city, served by an Orthodox synagogue, Adelaide Hebrew Congregation and a Reform synagogue, Beit Shalom, in addition to a virtual Jewish museum. Massada College, a Jewish day school opened in the city in 1976 and closed in 2011.South Australia’s only Jewish school to close Jewish Telegraphic Agency. 4 July 2011 The Adelaide Holocaust Museum and Andrew Steiner Education Centre opened in 2020.Adelaide Holocaust Museum is opening its doors and the hearts of South Australians Gandel Foundation. Retrieved on 17 December 2024

The ""Afghan"" community in Australia first became established in the 1860s when camels and their Pathan, Punjabi, Baluchi and Sindhi handlers began to be used to open up settlement in the continent's arid interior. Until eventually superseded by the advent of the railways and motor vehicles, camels played an invaluable economic and social role in transporting heavy loads of goods to and from isolated settlements and mines. This is acknowledged by the name of The Ghan, the passenger train operating between Adelaide, Alice Springs, and Darwin. The Central Adelaide Mosque is regarded as Australia's oldest permanent mosque; an earlier mosque at Marree in northern South Australia, dating from 1861 to 1862 and subsequently abandoned or demolished, has now been rebuilt.",
Q889,Afghanistan,"==Respect==

thumb|250px|Inside the Maulana Jalaludin Cultural Park in the northern city of [[Mazar-e-Sharif]]

Despite all that they have been through since 1979, Afghans in general are welcoming and hospitable to foreign visitors. Hospitality is a cornerstone of Afghan culture, and it is very likely that you'll be treated as a celebrity by the locals. 

With the regime change in 2021, a large proportion of the population, especially women, are very afraid of what will be in the future. Those who worked for the government, for foreign organisations, for human rights or for the media, or held any high profile positions may be afraid for their lives. Tread extremely lightly.

If invited to an Afghan home, expect to be offered the best of everything there is. You will often be showered with tea, sweets, snacks, and gifts when entering someone's home. Don't refuse any of these as it can leave a bad impression on your hosts. You'll often be encouraged by your hosts to take second helpings ad infinitum. If so, take it as a form of respect as it may leave a good impression on your hosts. Cleaning your plate will invite more to be served, while leaving too much may be a sign you didn't care for it. Aim for leaving just a little, announcing you're full, and heavily praising the food.

Honor and shame, otherwise known as ""saving face"" in other countries, are very important in Afghan culture. No matter how genuine your intentions may be, avoid criticising people in the open and do not make someone feel uncomfortable with your questioning. Be mindful that your actions will be reflected on your counterparts (e.g. Business partners, family members); doing anything perceived as ""shameful"" by Afghans will cause others to view them in a negative way. Be mindful of this and behave accordingly.

While the majority of women across Afghanistan still wear the burqa or chadori, in cities like Kabul and Herat many opt for the Middle Eastern-style hijab. Western women are highly encouraged to wear any type of head scarf (especially outside Kabul). As a general rule, the people get more conservative as you move further south.

The pace of life in Afghanistan is quite slow. Building relationships and getting things done require you to demonstrate sincere interest as Afghans try to do things in a measured, careful manner. Losing your temper is seen as disrespectful, and it can quickly make people feel uncomfortable.

As in any other Islamic country, people place a high value on personal privacy. Although Afghanistan may have wonderful photo opportunities, do not photograph or record people without their permission, especially women. Also, taking photographs of anything of strategic importance may be met with suspicion.

Be sensitive to the country's current situation. Many Afghans have endured a lot due to years of conflict and warfare. Offer sympathy and respect when the opportunity arises.

* Remember to remove your shoes when entering a religious building.
* Dress modes",
Q222,Albania,"==Respect==

Albanians are very hospitable. Even more so than the rest of the Balkans, elder males expect to be shown respect on account of their age. Men of the family have to be respected in particular. Shake hands with them and do not argue about topics such as religion and politics. Certain topics are strictly taboo, homosexuality being one. Don't speak about gay rights, no matter what. The situation changes a lot according to the location (village or city) and the people with whom you speak as well. In the hidden north, avoid topics that go beyond local understanding, but in Tirana you will find cosmopolitan people that are as open to new ideas as the citizens of Western Europe.

Sometimes, if you stay for a night or so at someone's house, don't be surprised if you see an AK-47 Kalashnikov hanging at the wall. It's pretty normal for Albanians to keep guns in the house.

Albania is mostly a secular country, although most of the population consider themselves either Muslim, the majority, or Christian. Ramadan does not close down street life, at least in Tirana, but you may still not want to break Islamic taboos without checking that it is OK in your current company.

Because of the Kosovo situation, there is a great deal of mistrust and resentment towards Serbia in Albania. Try to avoid being overly enthusiastic about Serbia, as it can quickly arouse negative sentiments among locals.

In Albania it's common for men to kiss cheeks of males of their age or younger, even the first time they meet them. This is especially true for the regions of Fier, Tepelena, Vlora and Gjirokastra. In Northern Albania, they will simply touch each other's cheeks, but not kiss them. Women also kiss one another, sometimes from the first time they meet, but men and women do not kiss each other on the cheek unless they have been friends for a long time. Kissing cheeks between young people, 15–20 years old, is however very common. If you are a man, or a woman with a group of men, don't compliment females, unless they are under 10–12 years old.

If a baby is in the family, always ask to see him or her, and don't forget to add a compliment (usually ""Genka i shendetshem, me jete te gjate"" or ""What a sweet baby"" works best).

If you speak a language where there are different formal and informal words for ""you"" in singular and ""you"" (like Italian, Greek, German, etc.), be aware that some Albanians do not use the formal form in their language. Sometimes, even the prime minister is addressed with ""ti"" (the informal word for ""you"", ""tu"" in Italian, ""Du"" in German or ""Esi"" in Greek), if the journalist is a friend of him. However, when meeting people for the first time, it's better if you address them with the formal word, although they will shortly after ask you to address them with the informal one.

Policemen in Albania are often polite. They usually never stop foreign cars, but if you rent a car, they may stop you. However, when they see you are a foreign tourist, they will",
Q87,Alexandria,"==Culture==

thumb|left|The [[Bibliotheca Alexandrina]]
The Library of Alexandria was once the largest library in the world. It is generally thought to have been founded at the beginning of the 3rd century BC, during the reign of Ptolemy II Philadelphus. It was likely created after his father had built what would become the first part of the library complex, the temple of the Muses—the Museion, Greek Μουσείον (from which the Modern English word museum is derived).

It has been reasonably established that the library, or parts of the collection, was destroyed by fire on a number of occasions, as library fires were common and replacement of handwritten manuscripts was very difficult, expensive, and time-consuming. To this day, the details of the destruction (or destructions) remain a lively source of controversy.

The Bibliotheca Alexandrina was inaugurated in 2002, near the site of the old Library. The library also annually hosts the Alexandria International Film Festival.

The Alexandria National Museum was inaugurated 31 December 2003. It is located in a restored Italian style palace in Tariq El Horreya Street (formerly Rue Fouad), near the centre of the city. It contains about 1,800 artifacts that narrate the story of Alexandria and Egypt. Most of these pieces came from other Egyptian museums. The museum is housed in the old Al-Saad Bassili Pasha Palace, who was one of the wealthiest wood merchants in Alexandria. Construction on the site was first undertaken in 1926.

The Graeco-Roman Museum was the city's main archeological museum, focused on artifacts from its Greco-Roman period. It was opened in 1892 and was closed in 2005 for extensive renovations and expansion. The museum re-opened to the public in October 2023.

The Alexandria Museum of Fine Arts is a museum for Egyptian and Middle-Eastern fine art situated in the Moharam Bek neighborhood of Alexandria, Egypt. The museum houses a collection of works by Egyptian artist and a selection of works from Baroque, Romanticism, Rococo and Orientalism. In addition, noteworthy examples of carving, printing and sculpture from Egyptian and European artists.

Other museums in the city include the Cavafy Museum, and the Royal Jewelry Museum.

Alexandria’s music history blends ancient Egyptian ritual sounds, and modern Egyptian innovation. Known as a center for musical study in antiquity, the city later became a hub for early 20th-century African modernization, notably producing composer Sayed Darwish. Its rich soundscape has evolved from temple music and early radio broadcasting to vibrant modern performances.

Alexandria was a melting pot where ancient Egyptian, Greek, and Roman musical traditions merged. The Library of Alexandria housed scholars who studied music theory, including modes and tone structures, with some evidence suggesting advanced identification systems for music pieces. Music was vital to rituals, involving instruments like harps, lutes, and pipes. The god Ihy and goddess Hathor were a",
Q262,Algeria,"==Respect==

Algerians share a common culture with other North Africans and Arabs in the Gulf; therefore, much of what is considered good manners in the Arab world applies to Algeria. 

Honour is an important cornerstone of Algerian culture and forms the basis of all relationships in the country. Algerians believe that turning down someone's request causes them to lose honour. Be smart about what you say openly — criticising someone in public or making someone look bad in front of others can cause an Algerian to lose their honour, i.e., lose face. While it's not a crime to publicly shame someone in Algeria, Algerians are generally remarkably sensitive to strongly worded comments and won't hesitate to react with anger if you do anything that makes them feel unvalued and disrespected. 

Ask questions about or show some interest in Algerian history, geography, tourist attractions, and culture; this will get Algerians to like and respect you. As is the case anywhere, Algerians appreciate good comments about their country, customs, and culture. 

Show respect to elders. Act politely around someone older than you or in a position of authority, and do not say or do anything that would make them feel challenged. 

The terms ""brother"" and ""sister"" are often used to address people. They are not considered offensive. 

Algerians generally value their privacy. That being said, it's not rude to ask if someone's married or if they have children.

Domestic politics are both highly sensitive and polarised. Algerians, in general, have a strained relationship with their government and it is common for them to express feelings of frustration, annoyance, and anger towards their government and politicians. While it's not a social faux pas to discuss politics, try to avoid stating your opinion on local politics; Algerians may not appreciate what you have to say. 

Avoid being overly enthusiastic about France. The French occupation of Algeria was a period of great suffering for many Algerians. Thousands of Algerians were arrested, imprisoned, tortured, exiled, and mistreated by the French, and Algerians feel that France hasn't done enough to acknowledge the harm it has caused to Algeria. In France, Algerians are sometimes discriminated against and treated with a degree of contempt. If you are of French-Algerian heritage, you should be extra careful; demonstrations of enthusiasm for France might get you labelled as a ""harki"" (a historically contested term with negative connotations) or a ""traitor"".

Ethnicity is a very sensitive subject in Algeria. The Berbers, who make up 15-20% of the population, have a long history of being mistreated by the Arab-dominated Algerian government and have long struggled for autonomy and cultural rights. It would be considered awkward to ask an Algerian about what their ethnicity is; it could cause them to believe that you are questioning their loyalty to Algeria.

Tread carefully in discussing the Algerian Civil War. Tens of thousands of",
Q3805,Amman,"Amman has a mostly Sunni Muslim population, and the city contains numerous mosques.Ring, Salkin and LaBoda, p. 65. Among the main mosques is the large King Abdullah I Mosque, built between 1982 and 1989. It is capped by a blue mosaic dome beneath which 3,000 Muslims may offer prayer. The Abu Darweesh Mosque, noted for its checkered black-and-white pattern, has an architectural style that is unique to Jordan. The mosque is situated on Jabal Ashrafieh, the highest point in the city. The mosque's interior is marked by light-colored walls and Persian carpets. During the 2004 Amman Message conference, edicts from various clergy-members afforded the following schools of thought as garnering collective recognition: Hanafi, Hanbali, Maliki, Shafi'i, Ja'fari, Zahiri, Zaydi, Ibadi, tassawuf-related Sufism, Muwahhidism and Salafism.Global Security Watch—Jordan – Page 134, W. Andrew Terrill – 2010 Amman also has a small Druze community.

Large numbers of Christians from throughout Jordan, particularly from al-Salt, have moved to Amman. Nearby Fuheis is a predominantly Christian town located to the northwest of the city. A small Armenian Catholic community of around 70 families is present in the city.Kildani, p. 678. Ecclesiastical courts for matters of personal status are also located in Amman. A total of 16 historic churches are located in Umm ar-Rasas ruins in Al-Jeezah district; the site is believed to have initially served as Roman fortified military camps which gradually became a town around the 5th century AD. It has not been completely excavated. It was influenced by several civilizations including the Romans, Byzantines and Muslims. The site contains some well-preserved mosaic floors, particularly the mosaic floor of the Church of Saint Stephen.",
Q727,Amsterdam,"In 1578, the largely Catholic city of Amsterdam joined the revolt against Spanish rule, late in comparison to other major northern Dutch cities. Catholic priests were driven out of the city. Following the Dutch takeover, all churches were converted to Protestant worship. Calvinism was declared the main religion. It was forbidden to openly profess Roman Catholicism and the Catholic hierarchy was prohibited until the mid-19th century. This led to the establishment of clandestine churches, covert religious buildings hidden in pre-existing buildings. Catholics, some Jews, and dissenting Protestants worshipped in such buildings. A large influx of foreigners of many religions came to 17th-century Amsterdam, in particular Sephardic Jews from Spain and Portugal, Huguenots from France, Lutherans, Mennonites, as well as Protestants from across the Netherlands. This led to the establishment of many non-Dutch-speaking churches. In 1603, the Jewish received permission to practice their religion in the city. In 1639, the first synagogue was consecrated. The Jews came to call the town ""Jerusalem of the West"".

As they became established in the city, other Christian denominations used converted Catholic chapels to conduct their own services. The oldest English-language church congregation in the world outside the United Kingdom is found at the Begijnhof. Regular services there are still offered in English under the auspices of the Church of Scotland. Being Calvinists, the Huguenots soon integrated into the Dutch Reformed Church, though often retaining their own congregations. Some, commonly referred to by the moniker 'Walloon', are recognizable today as they offer occasional services in French.

In the second half of the 17th century, Amsterdam experienced an influx of Ashkenazim, Jews from Central and Eastern Europe. Jews often fled the pogroms in those areas. The first Ashkenazis who arrived in Amsterdam were refugees from the Khmelnytsky uprising occurring in Ukraine and the Thirty Years' War, which devastated much of Central Europe. They not only founded their own synagogues but had a strong influence on the 'Amsterdam dialect' adding a large Yiddish local vocabulary. Despite an absence of an official Jewish ghetto, most Jews preferred to live in the eastern part, which used to be the centre of medieval Amsterdam. The main street of this Jewish neighbourhood was Jodenbreestraat. The neighbourhood comprised the Waterlooplein and the Nieuwmarkt. Buildings in this neighbourhood fell into disrepair after the Second World War a large section of the neighbourhood was demolished during the construction of the metro system. This led to riots, and as a result, the original plans for large-scale reconstruction were abandoned by the government. The neighbourhood was rebuilt with smaller-scale residence buildings based on its original layout.

thumb|The [[Westerkerk in the Centrum borough, one of Amsterdam's best-known churches]]
Catholic churches in Amsterdam have been",
