wikidata_id,destination_name,eat_section_text,street_food_available
Q1017,Aachen,"==Eat==
thumb|Old post office in Aachen, now a food court and meeting place
Aachen offers many different cuisines, from traditional German food to exotic cuisines. The centre offers restaurants of all categories, prices being relatively cheap in comparison with other German cities. Students prefer the snack bars and light meals offered at Pontstraße.

* 
* 
* 
* 

* 
* 
* 

* 
* 
* 

* 
* 
* 
* 
* 
* 
* 
* 

* 

thumb|right|Rathaus by night",False
Q36405,Aberdeen,"== Eat==
* The Aberdeen buttery or rowie is a cross between a pancake and a croissant. They have a flaky yet heavy texture and are very salty. They're served plain or with butter or jam to make a tea-time or mid-afternoon snack. They're seldom found in cafes or restaurants, you buy them in bakeries or supermarkets to eat at home or on the go.

* Union Square upstairs has the usual chains including Ask, Yo! Sushi, Wagamama, Nando's and TGI Fridays.
* 
* 
* 
* 
* 

 
 thumb | 300px | Aberdeen butteries or rowies 
* 
* 
* 
* 
* Oki Doki is a Georgian restaurant at 27 Windmill Brae, off Crown St a block south of Music Hall. It's open Tu-Su 11AM-8PM. 
* 
* Mai's Vietnamese Kitchen is at 12B Back Wynd off Union St, open W-Su noon-10PM. 
* 
* 
* 
* 
* 
* 
* 
* 
*",False
Q3761,Accra,"==Eat==
Eat out at one of Osu's many trendy restaurants. Osu, a suburb of Accra, is known for its nightlife and a wide variety of eateries, hotels, and several options for entertainment.

Located in Labone near the Metro TV building, ""Maquis Tante Marie"" is a restaurant serving a variety of African cuisines in a pleasant garden setting.

Frankie's on Oxford Street in Osu is a popular oasis for tourists in Accra. Offering accommodation, a restaurant, salad bar, ice cream and a bakery/pastry shop.

Other popular restaurants in Osu include Papaye (Fast Food), Asanka Locals (Traditional Ghanaian Cuisine) and Noble House Restaurant (Indian and Chinese Cuisine).
* 
* 
* 
* 
*",False
Q38545,Adana,"== Eat ==
 thumb | 300px | Adana kebap 
* Adana Kebab the town specialty is a skewer of minced lamb.
* Old town places are round its rim rather than central. Try Kebapçı Şeyhmus, Eyvan Kebap, Erciyes Kebap, Abidin Usta, Sirdanci Bedo, Kazancılar (below) or Oz Asmaalti Kebap Salonu.
* 
* Station area has Eski Dostlar, Paşalimanı, Saki Meyhane, House of Kamer, Tokana, The Sopranos, Makarnos, Elem (below), Yüzevler and Zeynel Ocakbaşı. 
* 
* Lake shore has Dalyan Balik, Bigfish, Yeşilçam Meyhanesi and Sercan (below). 
* 
* Mado's is a dessert chain with outlets on Cemal Paşa, Kurttepe, Toros St, Carrefour Mall, and M1 Mall.",False
Q3624,Addis Ababa,"==Eat==
Food is generally cheap. Make sure you try the national dish injera at least once, since there is no other food like it. It is a yeast-risen flat bread with a unique, slightly spongy texture. It is traditionally made out of teff flour. In making injera, teff flour is mixed with water and allowed to ferment for several days, as with sourdough starter. As a result of this process, injera has a mildly sour taste. It's what the locals eat for breakfast, lunch and dinner. Most ordinary Ethiopian restaurants have it, and a serving for 2 people with free refills can be as cheap as 15&nbsp;birr.

Addis has hundreds of cake and coffee cafes. They sell various coffees, tea - black unless you ask for ""machiatto"" - and sometimes fruit juices. There are also juice beits. The cafes along Bole Road and around the Piassa area are of a high standard and relatively inexpensive. Most are very similar to each other.

Most cafes serve the common drink called 'sprice juice' (fruit pulp served in layers in a glass). There are usually three layers from a selection of avocado, mango, papaya, banana, guava etc. The juice is eaten with a spoon. It is colourful and tastes delicious. Single fruit juices are also great, such as orange, papaya, mango, and pineapple - beautifully fresh. 7&nbsp;birr up to 25&nbsp;birr in Hilton.

* 
* 
* 

* 
Restaurants that do not have an English menu are cheaper. Example: Connection between Bole Road and Tele-Bole, next to Bole roundabout, at NOC-Fuelstation, close to German Kantine. You can have lunch (local food, spaghetti) for less than 20&nbsp;birr. If you don't have a translator, ordering is a lot of fun.

thumb|Eating at an Ethiopian restaurant, Addis Ababa
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
* 
thumb|In Ethiopia, stews are often accompanied with injera bread
* 
* 
* 
* 
* 
* 

* 
* 
* 
* 
* 
* 
* 
* 
* 
*",False
Q889,Afghanistan,"==Eat==
thumb|Some of the popular Afghan dishes, from left to right: 1. Lamb grilled kebab (seekh kebob); 2. Afghan palao and salad; 3. Tandoori chicken; and 4. Mantu (dumplings). Afghan cuisine includes a blend of Central, Eastern, South Asian, and Middle Eastern cuisines. Nearly all the dishes are non-spicy.

There are three main types of Afghan bread:

* Naan — Literally ""bread"". Thin, long and oval shaped, its mainly a white/whole wheat blend. Topped with poppy seeds, sesame seeds, nigella seeds, or some combination of these. Upon request, customers may be able to get all white flour and a helping of oil, which makes it rich and delicious.
* Obi Non — Uzbek-style bread. Shaped like a disc and thicker than naan. Usually made with white flour.
* Lavash — Very thin bread. Similar to the lavash elsewhere. Usually used as plating for meats and stews.

Rice dishes are the ""king"" of all foods in Afghanistan. The Afghans have certainly taken much time and effort in creating their rice dishes, as they are considered the best part of any meal. Wealthier families will eat one rice dish per day. The Afghan royalty spent much time on rice preparation and invention as evidenced in the sheer number of rice dishes in their cookbooks. Weddings and family gatherings must feature several rice dishes and certainly reputations can be made in the realm of rice preparation.

* Kabuli Pulao (or Kabuli Palaw, Qabili Palaw, Qabili Palau or simply Palau) — An Afghan rice dish consisting of steamed rice mixed with lentils, raisins, carrots, and lamb. It is baked in the oven and topped with fried sliced carrots and raisins. Chopped nuts like pistachios or almonds may be added as well. The meat is covered by the rice or buried in the middle of the dish. It is the most popular dish in Afghanistan, and is considered the national dish.
* Chalao — White rice. Extra long grains such as Basmati is required. First parboiled, then drained, and finally baked in an oven with some oil, butter, and salt. This method creates a fluffy rice with each grain separated, unlike Chinese or Japanese rice. Chalao is served mainly with qormas (korma; stews or casseroles)
* Palao — Cooked the same as chalao, but either meat & stock, qorma, herbs, or a combination are blended in before the baking process. This creates elaborate colors, flavors, and aromas for which some rices are named after. Caramelized sugar is also sometimes used to give the rice a rich brown color.
* Yakhni Palao — Meat & stock added. Creates a brown rice.
* Zamarod Palao — Spinach qorma mixed in before the baking process, hence 'zamarod' or emerald.
* Qorma Palao — Qorm'eh Albokhara wa Dalnakhod mixed in before the baking process
* Bore Palao — Qorm'eh Lawand added. Creates a yellow rice.
* Bonjan-e-Roomi Palao — Qorm'eh Bonjan-e-Roomi (tomato qorma) added at baking process. Creates a red rice.
* Serkah Palao — Similar to yakhni palao, but with vinegar and other spices.
* Shebet Palao — Fresh dill, raisins added at baking pr",False
Q42941,Agra,"==Eat==
Agra specialities are petha, a type of very sweet candy, and Dal Moth, a spicy lentil mix. Both are also popular souvenirs.

* Chaat - Agra is a heaven for any Chaat lover. Chaat can be of various types but there is one thing common among them all is that they are spicy and you will find crowd outside virtually every chaat stall, especially popular places like Double Phatak (near Sikandra) for Mangores. You'll find quality Bhallas and Panipuri at Sadar and Belangunj. Samosa and Kachori are found at every sweet shop that flood the city. Some typical chaat items are Aloo Tikki (made by roasting mess made out of boiled potatoes), paneer tikka (cubes of cottage cheese baked in a tandoor with spices), pani puri or golguppa (small round hollow shells filled with a potato-based filling and a spicy sweet blend of sauces), mangores, Samosaes, Chachori, etc. If you want to savour the typical Agra breakfast have a bite of one of those spicy Berahi and round it off with sweet Jalebies.
* Sweets - There are quite a few good sweets shops. The best for the famous petha of Agra are at Hari Parwat, a short distance from Agra Fort. Amongst the well-known shops are Panchi's, Bhimsain BaidyaNath and The Pracheen Petha store. There are many types of petha available but, for the authentic experience, try either the plain one (ivory white) or Angoori flavoured (rectangular and yellow pieces soaked in sugar syrup). Other shops in Agra include: Bikanervala, Deviram, Munnalal Petha, Gopaldas, and Ajanta Sweets, Kamla Nagar. You can round off your meal with a Joda (pair) of Pan unique to the city.
* There is also an abundance of Korean food.
* There are several restaurants in the Taj Ganj area, catering for the many tourists staying around the Taj Mahal.

* 
* 
* 
* 

* 
*",False
Q1070,Ahmedabad,"==Eat==
thumbnail|Lunch in Ahamedabad means roti, puri, vegetables, mango sweets, gulab jamun and butter milk.
Ahmedabad is a gastronomic paradise, and there are many restaurants. Gujaratis are fond of eating and the food generally tends to be on the sweeter side. Gujaratis are mostly vegetarians hence most local dishes are vegetarian. However, with the recent advent of international and domestic food chains non-vegetarian food has become popular. Ahmedabad is famous for its ice-creams because of abundance of dairy products in the state and Gujaratis' penchant for sweets. Local specialities include Dhokla, Khandvi, Srikhand, Haandvo, Bhajiya amongst others.

A famous food from Ahmedabad and/or Gujarat is the 'cheese and pineapple jam sandwich' which is sold by most sandwich vendors in Gujarat, especially in Ahmedabad. Despite this dish being famous in Gujarat, the other parts of India find this dish to be disgusting, but wait till you actually try it!

There are lots of Gujarati dining halls where you can get unlimited ""thali"" meals for around ₹250. A thali consists of variety of concoctions including salads, appetizers, snacks, breads, pulses, vegetable curries and sweets.

If you have not stayed in India for long, select a food place which is famous and well organised (hotels, big restaurants). Otherwise, its fun to eat at one of the road side stalls, especially at the Khau Galli in Law Garden area and Khan Pan Bazaar in Manekchawk. Various stalls open in the evening until late at night. You may enjoy Paani - Puri (Gol Gappa), Indian Chat, Indian Sandwiches, North Indian, Indian-Chinese and some continental cuisines, amazingly at road-side stalls and for less than a ₹60 item. Sarkhej–Gandhinagar Highway (SG Road) in New West Zone has transformed into a restaurant strip. It has over 100 restaurants in a five-mile stretch offering most varieties in all price ranges.

*Sankalp (Area: Chimanlal Girdharlal Road, SG Road) A chain with outlets across them city that specialises in South Indian food. It set an Guinness World Record for the ""longest dosa (thin-crepe) in the World"" (25 feet)
*Honest (Area: Panchwati, SG Road, etc.) A well-known fast-food chain that started as road-side stall serving Pav-Bhaji and Pulav in Law Garden area and now a fledging restaurant chain
300px|thumbnail|right|'Khaman', the popular Gujarati breakfast
*Mirch Masala (Area: Chimanlal Girdharlal Road, SG Road) Serves North-Indian food in a typical highway ""dhaba"" setting. Excellent food but more interesting for its decor.

Other than these that are several other restaurants that serve excellent food for example (Swati Snacks, House of MG both famous for Gujarati food in chic setting, Bawarchi for Punjabi food, etc.) For western palates, a good way to find new restaurants is to ask a local, especially someone young who would certainly know about such places. International chains like Pizza Hut, McDonalds, Subway are present throughout the city.",False
Q222,Albania,"==Eat==
250px|thumb|right|From upleft clockwise: Speca me djathë (pepper casserole), djathë furre me spec djegës (baked cheese with spicy pepper), tavë peshku koran (fish), hasude

Albania, like the Balkans in general, has a primarily Turkish influence in its cuisine. This influence stems from over 400 years of Ottoman rule in the region. Influences since the fall of communism in the early 1990s have been from Italy and Western Europe in general. Most of what is available in neighboring countries such as Greece and Italy will be available in Albania, particularly in the larger cities.

* Tasqebap – A traditional Albanian stew made of lamb fricassee, tomatoes and onions. Some sort of hearty stew is generally included in Albanian dinners. These stews are easy to make, and flexible with ingredients, like potatoes, onion, rice, etc., so there are vegetarian versions of the dish (without lamb).
* Paçe Koke – A stew made from the head (kokë) of a lamb or a goat.
* Paçe këmbe - is a traditional Albanian dish that is especially popular in rural regions and is often served during festive occasions or as a hearty comfort food. The name ""paçe"" refers to a stew made from the head and feet of a lamb, and ""këmbë"" means ""feet"" in Albanian, specifically lamb’s feet, which are the main ingredients in this flavorful and filling dish.
* Paçe Plënci – Same as before but made from intestines. However, the smell of cooking it can be off-putting.
* Fërgesë – Baked cheese, vegetables and eggs; originating from the capital of Albania, Tirana.
* Tavë dheu – Fërgesë with the addition of liver. Sometimes referred to as Fërgesë me melçi.
* (Mish) Tavë kosi – A baked dish of lamb and rice, together with a yogurt sauce. It is sometimes referred to as a national dish in Albania. Similarly, further such baked dishes exist; like Burani me Spinaq dhe Mish or just Mish Burani Spinaq with meat and spinach.
* Mish me bizele – Peas and meat stew.
* Mish me bamje – Okra and meat, made in the late summer and fall when Ocra is harvested. Vegetarians can instead enjoy Bamje pa Mish.
* Byrek is a beloved and versatile dish in Albania, known for its flaky, golden crust and savory filling. It can be enjoyed as a snack, appetizer, or main dish and is a staple of Albanian cuisine. Byrek is made by layering thin sheets of dough and filling them with a variety of ingredients. The fillings vary depending on the region, season, and local preferences. Here are some of the most popular types of byrek you can find in Albania:
*# Byrek me Spinaq (Spinach Pie) One of the most common and beloved types of byrek in Albania, byrek me spinaq is made with spinach as the main filling, often combined with cheese, particularly feta or ricotta. The spinach gives the pie a fresh, slightly earthy taste, balanced by the creamy cheese. It is commonly served as a light meal or appetizer.
*# Byrek me Mish (Meat Pie) Byrek me mish is a heartier version of byrek, filled with minced meat, usually beef or lamb, along with",False
Q34804,Albuquerque,"==Eat==

Dining out in Albuquerque tends to be relatively inexpensive and very casual. Many places offer outdoor seating. Iced tea is the beverage of choice.

New Mexican cuisine is unique. Be ready for the question ""Red or green?"" or in Spanish ""¿Rojo o verde?"" which refers to the chile-based sauce included in or used to smother various menu items. There are constant arguments as to which is hotter, the ripe and often dried red chile, or the immature green chile; however, spiciness depends much more on the strain of pepper and how the chile is prepared rather than the color, and varies greatly by restaurant, so inquire and experiment. Many meals will include sopaipillas, the characteristic New Mexican fry bread, as a side. The characteristic desserts are flan, a type of custard, or Natillas, closer in texture to pudding.

* 
** 
** 
* 
* 
* 
* 
* 
** 
** 
* 
* 
* 

* 
* 
* 
* 
** 
** 

right|thumb|350px|The best place for hot dogs in town
* 

* 
* 
* 
* 
** 
** 
* 
* 
* 
* 
* 
** 
** 
* 
right|thumb|350px|The 66 Diner
* 

* 
* 
* 
* 
* 
* 
* 
* 
* 

* 
* 
* 
* 

* 
:* 
:* 
* 
:* 
:* 
:* 
:* 
* 
* 
:* 
:* 
* 
:* 
:* 
* For your more typical chain groceries, Albertsons and Smith's each have several stores in the city.",False
