destination_id,destination_name,stay_safe_text
Q1017,Aachen,"Aachen is one of Germany's safer cities on average, and the casual tourist does not have to worry whilst in Aachen. The city center is usually bustling with life, especially during the school year, though pickpockets can take advantage of people taking a drink. 

With that said, the areas immediately surrounding the main railway station (Hauptbahnhof) and the local bus station (Bushof) attract hordes of junkies. Furthermore, a lot of neighborhoods south of the city center can come off as sketchy if you are not accustomed to post-industrial towns. Most areas are usually fine.

As a border town, there is a certain amount of drug trafficking, but unless you are directly involved with this activity, you won't be affected."
Q36405,Aberdeen,"Aberdeen is broadly safe, but you need to use your street sense. There is the usual motley crowd of drunks, beggars, rough sleepers and sex workers. Aggressive drunks are the main hassle, especially at weekends: the centre is heavily policed but trouble can flare in a moment. Some drunks are capable of assaulting lampposts that they reckon have looked at them amiss, so English football colours are a red rag to a bull. Above all don't be drunk or drugged yourself.

Areas to avoid, especially after dark, are Tillydrone (north of Bedford Road and east of St Machar Drive) and Torry (the south bank of River Dee)."
Q3761,Accra,"See Ghana#Stay safe for general information. 

Bywel's bar in Osu district is a frequent hangout of expats on Thursday nights, meaning that it is a target for muggings. Be sure to leave in a large group and enter a taxi immediately upon exiting the bar."
Q3624,Addis Ababa,"thumb|Police officer on a light rail train
* Addis is safer than most cities in Africa. Gang violence and similar serious activities are unusual. However, you may encounter some pick-pockets and con-artists around and inside Bole Airport, Mercato, Piazza and many other areas. Keep your belongings close, and pay attention to your surroundings. A common tactic is to show you a tray of things to buy with one hand and to try your pocket with the other. The good news is most of these pick-pockets are unarmed and young boys. If they know that you are aware of what they are up to, they may get intimidated and go away. However, some can be quite persistent and even involve older boys.
*Watch out for the spitting scam which happens in Piazza area. Typically it involves someone ""accidentally"" spitting on you, offering a handkerchief / tissue to clean it up, trying your pockets while you are distracted by this ""accident"" and then jumping into a companion's car with your belongings.
*Someone might also grab your arm and act crazy pretending to kick you as a distraction while his accomplice tries your pockets.
* As most Ethiopians are very welcoming, there is an infamous scam where young locals ""befriend"" tourists and invite them over after a nice day together to celebrate a ""special holiday"". You will get fed a lot of khat leaves, a chewing drug, and have a good time with them, but in the end you will be asked for a tremendous amount of money for the khat as they claim it is a ""special"" quality. Be aware of too friendly locals and ask if there is a price to anything, even if they claim you are invited.
* Be aware of your belongings on Line Taxis: They usually get very crowded – keep your wallet/phone/bag close to you.
* The major and important roads and areas are patrolled by the 'Federal Police' or, as the city residents refer them Federal. They have a reputation of being merciless with suspected criminals. In contrast, the Addis-Ababa city police, who most of the time patrol the less important city streets, markets and neighborhoods are more tolerant and less respected police officers.
* For all emergencies . In Addis, major streets are generally safe at night.
* Unlike in other African cities, in Addis-Ababa, police officers never approach foreigners to ask them to present a passport, ID or ""legal"" papers. Once you show your passport at the airport, you are free to move around pretty much anywhere. The only time you need your passport or ID is for hotel reservation and other similar and few instances. However, it is important to have your ID with you at all times."
Q5112,Adelaide,"thumb|right|The [[University of Adelaide Health and Medical Sciences Building, located in the BioMed City precinct on North Terrace]]

Adelaide's two largest hospitals are the Royal Adelaide Hospital (RAH) in Adelaide Parklands, a teaching hospital affiliated with the University of Adelaide (800 beds), and the Flinders Medical Centre (580 beds) at Bedford Park, affiliated with Flinders University. The RAH also operates additional campuses for specialist care throughout the suburbs including the Hampstead Rehabilitation Centre (150 beds) at Northfield and the Glenside Campus (129 beds) for acute mental health services.

Other major public hospitals are the Women's and Children's Hospital (305 beds), at North Adelaide; the Queen Elizabeth Hospital (340 beds) at Woodville; Modbury Hospital (174 beds) at Modbury; and the Lyell McEwin Hospital (198 beds) at Elizabeth Vale. Numerous private hospitals are also located throughout the city, with the largest operators being not-for-profits Adelaide Community Healthcare Alliance (three hospitals) and Calvary Care (four hospitals).

In 2017, the RAH was relocated from the city's East End to a new AU$2.3&nbsp;billion facility built over former railyards in the West End. The state-of-the-art hospital forms part of a new biomedical precinct called BioMed City that collocates the South Australian Health and Medical Research Institute (SAHMRI), the University of Adelaide Health and Medical Sciences building, the University of South Australia's Health Innovation Building, and the state's Dental Hospital. SAHMRI, with additional external funding, has built a $300&nbsp;million second facility completed in 2024, which was intended to house the Australian Bragg Centre with Australia's first proton therapy unit. Construction is underway for the Women's and Children's Hospital to be relocated to the precinct adjacent the RAH by 2030.
thumb|The [[South Australian Health and Medical Research Institute (SAHMRI), located on North Terrace]]

The largest provider of community health care within Adelaide is the not-for-profit Royal District Nursing Service, which provides out of hospital care and hospital avoidance care."
Q889,Afghanistan,"Afghanistan has more than its share of health issues, and it is pretty much essential to consult a travel doctor ahead of your trip about vaccinations and health risks. Travellers' diarrhea will afflict most visitors at least occasionally, and other food-related illnesses are moderately common. Respiratory diseases such as tuberculosis are common, and malaria is a risk in many parts of the country. Meningitis, hepatitis, cholera and rabies are major health issues, especially in the countryside with lacking health infrastructure.

Afghanistan is one of the dustiest countries in the world, and you should be prepared to be covered in it and breathing it for most of your stay, even in the major cities. Consider bringing facemasks. Pollution from diesel engines can also make life unpleasant.

Flies are notoriously heinous here, likely due to poor sanitation. Winter brings some relief, but they come back full-strength when spring arrives.

Food should be approached with a discerning eye, as hygiene standards can often be lacking. Hot, freshly cooked food is generally safer. Bottled water is also advised, unless you have your own purification system.

Do not approach any animals, especially dogs and cats and preferably take a rabies shot before going to the country, it's one of the most rabies-affected countries in the world and finding medical attention and medications will be hard – even with the shot you need to get urgent medical treatment if you get a scratch from an infected animal.

Bring any prescription medicine you may need from your home country, and don't count on being able to find it locally. You may also consider carrying pain relievers and anti-diarrheals, as they'll be hard to find outside of major cities.

Squat toilets are the norm, with toilet paper optional and sometimes scarce. Western-style toilets are seen occasionally in newer buildings and some private homes."
Q42941,Agra,"* Don't leave cash or any valuables in the hotel room. Cross check all hotel, restaurant and lounge bills for errors.
* Never pay anyone for anything upfront, including taxi drivers.
* Beware of pickpockets.
* If you decide to purchase anything, beware that most items are cheap replicas of original items and not likely to last long. The toys are really poorly put together so do not buy them!
* During the winter season, the weather of Agra is unpredictable and temperature may go as low as freezing; be well prepared.
* Some unscrupulous dealers of carpets use the classic 'bait and switch'. If you buy something, insist on carrying it yourself else what arrives in the post might not be what you bargained for. A carpet shop named 'Kanu carpets' is particularly infamous for this. It is prudent to steer clear of shady looking establishments."
Q1070,Ahmedabad,"People are friendly and the police will help you when you have an emergency. Ahmedabad is relatively safe because alcohol is not permitted: no late-night rowdyism as seen in other cities.

Ahmedabad City Police has around 35 major police stations besides the minor police chowkis.

For emergency, dial 100.

Find your police station depending on the area. Contact details (e-mail IDs and phone numbers) can be found when clicking on the respective station."
Q40104,Ajaccio,"Ajaccio has three hospital sites:
*the Misericordia Hospital, built in 1950, is located on the heights of the city centre. This is the main medical facility in the region.
*The Annex Eugenie.
*the Psychiatric Hospital of Castelluccio is west of the city centre and is also home of cancer services and long-stay patients.Castelluccio - Public Establishment of Health"
Q222,Albania,"thumb|Mineral water at a restaurant

It's best to drink bottled water. Unboiled tap water should be avoided.

In summer, insect repellent should be used as mosquitos are very active especially near former swamps and along the Western lowland.

Be careful at the beaches because shards of glass and sea urchins are common on the sea floor. 

Pharmacies and other stores are closed from about 12:00-16:00. Health clinics in small towns or village areas are not well equipped, so trips to nearby cities can be expected. 

Many Albanians smoke cigarettes. The government has banned smoking in restaurants but this is not enfored."
