destination_id,destination_name,practical_notes_text,mentions_visa,mentions_visa_on_arrival,mentions_visa_free
Q889,Afghanistan,"Fixed line service is available in major cities (digital in Kabul) and mobile phones in most cities. SIM cards are available and international calls to Europe/US typically cost less than USD0.5/minute. Outside of major cities your options are limited to a satellite phone.

An Afghanistan number should is of the form +93 30 539-0605 where ""93"" is the country code for Afghanistan, the next two digits are the area code and the remaining 7 digits are the ""local"" part of the subscriber number that can be called from within that particular area code using abbreviated dialing. You need to dial ""0"" in front of the geographic area code (of 20, 30, 40, 50 or 60 for fixed lines) from outside that particular area code (but when still within Afghanistan).

Mobile numbers in Afghanistan must always be dialled with all digits (10 digits, including a ""0"" prefixing the ""70n"" within Afghanistan), no matter where they are being called from. The 70n is a mobile prefix, not an ""area code"", as such and the third digit (the n part) denotes the original mobile network assigned.
An example mobile number looks like +93 700-202-496.

* Roshan +93 [tel:79&#x20;997&#x20;1333 79 997 1333]. The most reliable service with the widest coverage. SMS is possible to most countries. SIM cards cost USD5, local calls are Af 5/minute.
* Afghan Wireless Privately owned with 20% ownership by the government. AWCC has the only communications ring around the country offering high speed mobile and data services throughout all provinces. AWCC also offers the highest speed fibre-based connections to the outside world, with roaming to over 300 other operators in 120 countries. Services include Voice, FAX, GPRS and EDGE data services along with WiMAX and dedicated high speed internet service with 45MB links to NYC and 45MB links to Paris. SIM cards cost USD1, local calls are Af 4.99/minute billing in seconds.
* Areeba/MTN +93 [tel:77&#x20;222&#x20;2777 77 222 2777]. The cheapest cell service, offers the least coverage. SIM cards cost USD3, local calls are Af 5.5/minute.
*Etisalat +93 [tel:78&#x20;688&#x20;8888 78 688 8888]. A large network provider from the UAE, is the latest GSM network in Afghanistan. It became the first company to begin 3G services in early 2012.

* Thuraya is the most reliable satellite phone system.",False,False,False
Q222,Albania,"As of Sept 2021, Vodafone has the best coverage, with 4G in Tirana, the other main towns, and highways between. One and ALB have 4G in Tirana but less coverage elsewhere.

Generally, Vodafone or One will be the first choice for travellers. You can buy a local prepaid SIM card from 800 lek including some MB of data. After that, top up credits are 35 GB for 2,000 lek, or 6 GB for 600 lek (per month). As of October 2025, the cheapest Vodafone tourist pack is 2400 lek for 40 GB.

Note that Vodafone and One have special deals where when you install their app, you get an additional 10 GB for 1 month, or when you charge money onto your account, you get extra GB, like 3 GB for one month for a recharge of 600 lek with One. Also, it makes sense to ask in their shops for any specials as they often have packages which cannot be selected through their app but have a better price-value ratio, e.g. 32 GB for 1,000 lek with Vodafone.

You must provide a passport to purchase a prepaid SIM.

Many mobile providers in the Balkans provide free roaming across Balkan countries. So, in case you are planning to cross the border, ask on how to use the local SIM card in other Balkan countries. For instance, a One.al SIM card from Albania works flawlessly in North Macedonia and Kosovo with a regular Albanian package.

Many bars and restaurant have Wi-Fi readily available, just ask.

Besides that, Digicom (a DSL provider) uses the same default password for all their routers, which is ""20202020"". So, whenever you see a Wi-Fi named ""Digicom.al 2.4GHz"" or ""Digicom.al 5GHz"" just try this passphrase. Also, many places, guesthouses or restaurants seem to use the easy to remember ""12345678"" passphrase.",False,False,False
Q262,Algeria,"There are 3 main mobile services in Algeria - Mobilis, Djezzy and Ooredoo. It is easy to procure a pre-paid sim card for one of these operators at any airport, although Ooredoo generally has the fastest speeds. In September 2025, a SIM card with 100 GB of data was sold by Ooredoo for DA2500. There are several general stores all over the country which will sell you refill cards for these carriers.",False,False,False
Q228,Andorra,"Andorra's telecom providers are not part of the EU roaming zone so turn off your cell phone if you want to avoid hefty roaming charges, unless your plan allows you to roam in Andorra. If you wish to purchase a local SIM for use during your time in Andorra, Andorra Telecom sells SIMs for €15 with €15 credit preloaded. This is enough to purchase 1.5 GB of data.

Andorra is a well-connected country and has accepted the Internet with open arms. Almost as many people subscribe to the Internet as landline phones. Free public WiFi is available in parts of major towns, and many restaurants have WiFi as well.

thumb|A building with two mailboxes in the parish of [[La Massana]]
Uniquely, Andorra does not have its own postal service and instead relies on both the Spanish and French postal systems. You'll frequently see buildings with two mailboxes, and if you look closely you'll notice that one is for Correos (Spain) and one for La Poste (France). The main offices for both are in Andorra La Vella.

However, regular French and Spanish postage stamps are not valid for use in Andorra, and both postal services issue special stamps for use in Andorra only. Their stamps are also not interchangeable, so stamps issued by each postal service is not valid for sending mail using the other. Letters to Spain are cheaper if you use the Spanish postal service, while letters to France are cheaper if you use the French postal service. For letters to other countries, compare prices between the two postal services before you decide.

The French post office (Correus francesos) is at Carrer de Bonaventura Armengol is usually open M-F 08:30-14:30, Sa 09:00-11:59 Tel: +376 820 408

The Spanish post office (Correus espanyols) is open M-F 08:30-14:30, Sa 09:00-12:59 Tel: +376 820 257.",False,False,False
Q916,Angola,"thumb|Topography of Angola
thumb|Satellite imagery of Angola in 2022
At , Angola is the world's twenty-second largest country – comparable in size to Mali, or twice the size of France or of Texas. 

It lies mostly between latitudes 4° and 18°S, and longitudes 12° and 24°E. Angola borders Namibia to the south, Zambia to the east, the Democratic Republic of the Congo to the north-east and the South Atlantic Ocean to the west. The coastal exclave of Cabinda in the north has borders with the Republic of the Congo to the north and with the Democratic Republic of the Congo to the south. 

The nation's capital, Luanda, lies on the Atlantic coast in the northwest of the country.
Angola has a favourable coastline for maritime trade, with four natural harbours: Luanda, Lobito, Moçâmedes, and Tômbua. These natural indentations contrast with Africa's typical coastline of rocky cliffs and deep bays. 

Angola had a 2018 Forest Landscape Integrity Index mean score of 8.35/10, ranking it 23rd globally out of 172 countries. Its forest cover is around 53% of the total land area, equivalent to 66,607,380 hectares (ha) of forest in 2020, down from 79,262,780 hectares (ha) in 1990. In 2020, naturally regenerating forest covered 65,800,190 hectares (ha) and planted forest covered 807,200 hectares (ha). Of the naturally regenerating forest 40% was reported to be primary forest (consisting of native tree species with no clearly visible indications of human activity) and around 3% of the forest area was found within protected areas. For the year 2015, 100% of the forest area was reported to be under public ownership.

thumb|300x300px|Angola map of Köppen climate classification
Like the rest of tropical Africa, Angola experiences distinct, alternating rainy and dry seasons. In the north, the rainy season may last for as long as seven months—usually from September to April, with perhaps a brief slackening in January or February. In the south, the rainy season begins later, in November, and lasts until about February. The dry season (cacimbo) is often characterised by a heavy morning mist. In general, precipitation is higher in the north, but at any latitude it is greater in the interior than along the coast and increases with altitude. Temperatures fall with distance from the equator and with altitude and tend to rise closer to the Atlantic Ocean. Thus, at Soyo, at the mouth of the Congo River, the average annual temperature is about 26&nbsp;°C, but it is under 16&nbsp;°C at Huambo on the temperate central plateau. The coolest months are July and August (in the middle of the dry season), when frost may sometimes form at higher altitudes.

Due to climate change, Angola's annual average temperature has increased by 1.4.°C since 1951, and is expected to keep rising while rainfall is becoming more variable. Angola is highly vulnerable to climate change impacts. Natural hazards such as floods, erosion, droughts, and epidemics (e.g.: malaria, cholera and typhoid f",False,False,False
Q781,Antigua and Barbuda,"thumb|Antiguan city lights seen from the [[South Coast, Barbuda|South Coast of Barbuda. Light pollution is a major problem in the country.https://www.antiguanice.com/client.php?id=920&news=10952|300x300px]]
Limestone formations, rather than volcanic activity, have had the most impact on the topography of both Antigua and Barbuda, which are both relatively low-lying islands. Boggy Peak, also known as Mt. Obama from 2008 to 2016, is the highest point on both Antigua and Barbuda. It is the remnant of a volcanic crater and rises a total of 402 meters. Boggy Peak is located in the southwest of Antigua (1,319 feet).

Both of these islands have very irregularly shaped coastlines that are dotted with beaches, lagoons, and natural harbours. There are reefs and shoals that surround the islands on all sides. Because of the low amount of rainfall, there are not many streams. On neither of these islands can sufficient quantities of fresh groundwater be found.

Redonda is a small, uninhabited island located about 40 kilometres (25 miles) to the south-west of Antigua. Redonda is a rocky island.

In Antigua and Barbuda, forest cover is about 18% of the total land area, equivalent to 8,120 ha of forests in 2020, down from 10,110 ha in 1990.

Antigua and Barbuda consists mostly of its two namesake islands, Antigua, and Barbuda. Other than that, Antigua and Barbuda's biggest islands are Guiana Island and Long Island off the coast of Antigua, and Redonda island, which is far from both of the main islands.

Rainfall averages per year, with the amount varying widely from season to season. In general, the wettest period is between September and November. The islands generally experience low humidity and recurrent droughts. Temperatures average , with a range from to in the winter to from to in the summer and autumn. The coolest period is between December and February.

Hurricanes are common, including the powerful Category 5 Hurricane Irma, on 6 September 2017, which damaged 95% of the structures on Barbuda. Some 1,800 people were evacuated to Antigua.

Officials quoted by Time indicated that over $100&nbsp;million would be required to rebuild homes and infrastructure. Philmore Mullin, Director of Barbuda's National Office of Disaster Services, said that ""all critical infrastructure and utilities are non-existent – food supply, medicine, shelter, electricity, water, communications, waste management"". He summarised the situation as follows: ""Public utilities need to be rebuilt in their entirety... It is optimistic to think anything can be rebuilt in six months ... In my 25 years in disaster management, I have never seen something like this.""",False,False,False
Q414,Argentina,"thumb|Cybercafé with public phones in Rosario
You can get a prepaid Movistar / Claro / Personal SIM card for a few pesos / free at phone shops, all you pay is about ARS20 (about US$5) for your initial credits. Inserting the SIM card into your unlocked mobile phone should work, although to register the SIM you might have to enter your passport (or any 9 digit) number. You then have your personal Argentinian phone number, which is very useful to keep in touch with other travellers, either by calling or by writing text messages. Calls cost around ARS1 per minute. Still, having to register the SIM card is extremely rare.

Receiving calls is usually free, except for international calls, and some cross network / inter-city calls. Hence, buying a SIM card purely to keep in touch with people overseas may not be worth it.

To reload you can buy small cards with secret numbers at many kiosks, but the easiest way is just to ask for ""Recarga Virtual"" and tell the shop assistant your Phone number and company, and the amount of pesos you want to recharge.

Not related to mobile phones, there are similar cards with credits for international calls. You get them at so called locutorios, where you can also use the phone booths. You dial a free number to connect to the service, then your secret number for the credits, and then the international phone number you want to call. Using these cards, a one-hour call to Europe will cost about 10 Pesos (3 US-Dollars). Don't call without such cards or even from your hotel — it will be way more expensive.

The phone numbering plan in Argentina is hopelessly complicated for foreigners. Do check out the Wikipedia article about it to find out more.

* Directory Listing (The White Pages): 110
* International Operator: 000
* National Operator: 19
* Collect National Calls: 19 from regular phones, *19 from public phones
* Mobile phone numbers start with 15 or 11
* Regional code for Buenos Aires: 011

Other useful phone numbers include:
* Official Time: 113
* Consumer Advocacy: +54 11 5382-6216 or 6217

All 2 and 3-digit numbers are free, except the official time service (113).

All 0800 numbers are toll-free numbers, except if you call from a mobile phone.

Long-distance calls from Argentina:
You may use calling card, ARS0.18/min or ARS0.59/min for calling from Argentina to the United States.

Most cafés and restaurants offer free Wi-Fi with an advertisement in their windows. All you need to do is buy a coffee and ask for the password. Public Wi-Fi is also very common in Buenos Aires with great speeds. The network name will be BA Wifi",False,False,False
Q399,Armenia,"thumb|Beeline store in Yerevan
Yerevan is full of cafes with free wifi. These are beginning to pop up in a number of towns outside of Yerevan as well. Many hotels and cafes provide WiFi for their guests. International calling is available through prepaid mobile phone cards using a landline. Mobile phone companies often offer special prefixes to dial before the number to use VoIP, which is extremely cheap, and a good quality call. Short-term mobile phone rental is also possible. Regular calls can always be made from the post office, and is cheap within Armenia, but a bit expensive for international calls. Try to find a phone office that uses the internet for much cheaper rates. Local calls can be made from kiosks or the rare payphone.

Phone numbers in Armenia are of the form +374 312 57659 where ""374"" is the country code for Armenia, the next 2-5 digits (starting with a 1, 2, 3 or 4 in the case of land lines) are the area code and the remaining 3 to 6 digits are the ""local"" part of the subscriber number that can be called from within that particular area code using abbreviated dialing.

Area codes starting with 6 have been assigned to Internet telephony service providers to provide non-geographically based numbers. Mobile phone numbers have two digit mobile prefixes denoting the original network and all begin with a 9 (Nagorno-Karabakh mobile networks that used to start with a 7 have now been re-numbered to 97).

You must dial ""0"" in front of the geographic area code from outside that particular area code (but when still within Armenia).

Mobile numbers in Armenia must always be dialed with all digits (including a ""0"" prefixing the ""9n"" from within Armenia), no matter where they are being called from. The 9n is a mobile prefix, not an ""area code"", as such and the second and sometimes third digits (the n part) des the original mobile network assigned. As is the case with most mobile numbers, they can also be called within or outside Armenia using the international format. Most Armenian toll-free numbers and Premium Rate Numbers can not be called from outside Armenia. These numbers have the format 800-23-456.

There are three GSM service providers operating in Armenia. It is strongly advised to acquire a temporary prepaid SIM card as they are cheap and convenient, allowing both local and international calls, no charge for incoming calls and no monthly fee. Mobile internet and UMTS are also offered from all companies, as are the normal full range of wireless services.

VivaCell MTS has booths offering free SIM-Cards to incoming visitors at the airport. The majority of foreign visitors find their unlocked mobile phones compatible with Armenian SIM cards (GSM 900/1800). GSM coverage maps of Armenia.

*VivaCell MTS is the leading GSM service provider in Armenia and offers quality service at reasonable rates (owned by the Russian giant MTS). They have the best coverage outside of Yerevan. A VivaCell MTS pre-paid SIM card (""ALO"" card) costs 1",False,False,False
Q21203,Aruba,"thumb|upright=1.2|Geological map of Aruba
Aruba is located 77&nbsp;km (48&nbsp;mi) west of Curaçao and 29&nbsp;km (18&nbsp;mi) north of Paraguaná Peninsula of Venezuela. Aruba showcases three distinct landscapes. The northwestern region is primarily characterised by flat batholith landscapes. Notable landmarks include the conical Hooiberg hill and rock formations like Ayo and Casibari. Moreover, the northeastern part of the island features the oldest formations known as the Aruba Lava Formation. This region is marked by rolling hills, including Jamanota, and is home to Arikok National Park, and limestone terraces surround these two landscapes. The low-lying limestone terrace regions are defined by their white sandy beaches and the high plateaus on the north side of the island, in contrast, are constantly battered by the rough waters of the ocean, featuring caves and small natural bridge formations.

The arid landscape in Aruba is not solely a product of its climate but is also a consequence of extensive deforestation and exploitation during the Spanish colonisation of the island. Consequently, certain crops, such as aloe vera, thrive in this environment due to the high calcium-rich soil known as liming. As of 2022, Aruba only has 2.3% of forest-covered land area and only 0.5% of protected natural area. The Aruba Conservation Foundation, established in 2003, oversees the management of the conservation of 16 established protected areas, which encompass a total of nearly 25% of the island's surface, as well as four Marine protected areas (MPAs)ACF, Aruba Conservation Foundation. est. 2003. vis. 2025. https://acf.aw/nature-conservation The Arikok National Park, established as formal conservation land in 2000, covers 20% of the island.This Rare Earth. vis. 2025 https://thisrareearth.com/arikok-national-park-aruba/ Forest cover is around 2% of the total land area, equivalent to 420 hectares (ha) of forest in 2020, which was unchanged from 1990. None of the forest was reported to be primary forest (consisting of native tree species with no clearly visible indications of human activity), and no forest area was found within protected areas.

The geography includes naturally formed rooi or gullies that channel rainwater towards dams and ultimately the ocean. Other than Arikok National Park, the Bubali Bird Sanctuary is the only significant body of water on the island that holds the status of protected nature reserve and serves as a brackish water lagoon.

Aruba is divided into eight regions for census purposes, with no administrative function. Some correspond to parishes and include several community facilities.
thumb|Regions of Aruba
{| class=""wikitable sortable"" style=""margin-bottom: 0;""
|-
! Name !! Area (km2) !! Population 1991 census !! Population 2000 census !! Population 2010 census !! Population 2020 census
|-
| Noord || || || || || 
|-
| Oranjestad West || || || || || 
|-
| Oranjestad East || || || || || 
|-
| Paradera || || || || |",False,False,False
Q408,Australia,"thumb|upright=1.3|right|alt=Map showing the topography of Australia, showing some elevation in the west and very high elevation in mountains in the south-east|Topographic map of Australia. Dark green represents the lowest elevation and dark brown the highest

Australia consists of the mainland Australian continent, the island of Tasmania, numerous smaller offshore islands, and the remote offshore territories of Ashmore and Cartier Islands, Christmas Island, Cocos (Keeling) Islands, Coral Sea Islands, Heard and McDonald Islands, and Norfolk Island. Australia also claims about 42% of Antarctica as the Australian Antarctic Territory, but this claim is only recognised by four other countries.

Mainland Australia lies between latitudes 9° and 44° south, and longitudes 112° and 154° east. Surrounded by the Indian and Pacific oceans, Australia is separated from Asia by the Arafura and Timor seas, with the Coral Sea lying off the Queensland coast, and the Tasman Sea lying between Australia and New Zealand. The Great Barrier Reef, the world's largest coral reef, lies a short distance off the north-east coast and extends for more than .

The mainland is the world's smallest continent and the country is the sixth-largest by total area. Australia is sometimes considered the world's largest island and is often dubbed the ""island continent"". It has of coastline (excluding all offshore islands), and claims an exclusive economic zone of . This exclusive economic zone does not include the Australian Antarctic Territory.

thumb|upright=1.0|left|[[Fitzroy Island (Queensland)|Fitzroy Island, one of the 600 islands within the main archipelago of the Great Barrier Reef]]Most of Australia is arid or semi-arid. In 2021, Australia had 10% of the global permanent meadows and pastureland. Forest cover is about 17% of Australia's land area. The Australian mainland is relatively flat, with an average height of compared with for all continents. The Great Dividing Range runs along most of eastern Australia, dividing the central lowlands from the eastern highlands. At , Mount Kosciuszko is the highest mountain on the mainland. Taller are Mawson Peak, at , on Heard Island, and, in the Australian Antarctic Territory, Mount McClintock and Mount Menzies, at and respectively.thumb|upright=1.0|right|[[Uluru in the semi-arid region of Central Australia]]The Murray-Darling is the major river system, draining most of inland New South Wales and Southern Queensland towards Lake Alexandrina and the sea in South Australia. There are also smaller coastal river systems, inland drainage systems such as the Lake Eyre system, and salt lake systems in central and western Australia. Australia's rivers have the lowest discharge into the sea of any continent. The mainland's flat, arid profile also makes its rivers slow-moving, resulting in a build up of salt on the land. Salinisation adversely affects Australia's soil which is, on average, poor in nutrients compared with world standar",False,False,False
